pancreas_ID_86	ENCFF739DWU	ENCFF663EHB
pancreas_ID_87	ENCFF910FWQ	ENCFF755UWS,ENCFF181NJO
pancreas_ID_88	ENCFF910FWQ	ENCFF506MTS
pancreas_ID_89	ENCFF910FWQ	ENCFF908YZG
pancreas_ID_90	ENCFF910FWQ	ENCFF663EHB
pancreas_ID_91	ENCFF785YFT	ENCFF755UWS,ENCFF181NJO
pancreas_ID_92	ENCFF785YFT	ENCFF506MTS
pancreas_ID_93	ENCFF785YFT	ENCFF908YZG
pancreas_ID_94	ENCFF785YFT	ENCFF663EHB
pancreas_ID_95	ENCFF282OJH	ENCFF755UWS,ENCFF181NJO
pancreas_ID_96	ENCFF282OJH	ENCFF506MTS
pancreas_ID_97	ENCFF282OJH	ENCFF908YZG
pancreas_ID_98	ENCFF282OJH	ENCFF663EHB
pancreas_ID_99	ENCFF901ZDT	ENCFF755UWS,ENCFF181NJO
pancreas_ID_100	ENCFF901ZDT	ENCFF506MTS
pancreas_ID_101	ENCFF901ZDT	ENCFF908YZG
pancreas_ID_102	ENCFF901ZDT	ENCFF663EHB
A549_ID_103	ENCFF995HBI	ENCFF740RUT,ENCFF904HDB,ENCFF735JED
A549_ID_104	ENCFF995HBI	ENCFF348ILR,ENCFF786JZT,ENCFF056KDJ
endothelial_cell_of_umbilical_vein_ID_105	ENCFF309JXB	ENCFF228PAD,ENCFF034UBN
SJSA1_ID_106	ENCFF941LWY,ENCFF468DCR	ENCFF364AIR,ENCFF264EZF
HeLa-S3_ID_107	ENCFF187PXI	ENCFF948IRM,ENCFF712QHJ
middle_frontal_area_46_ID_108	ENCFF510KRD	ENCFF932FVV
middle_frontal_area_46_ID_109	ENCFF510KRD	ENCFF777JWI
middle_frontal_area_46_ID_110	ENCFF510KRD	ENCFF638KAU
middle_frontal_area_46_ID_111	ENCFF510KRD	ENCFF177EVZ
middle_frontal_area_46_ID_112	ENCFF510KRD	ENCFF535BVG
middle_frontal_area_46_ID_113	ENCFF510KRD	ENCFF864WAT
middle_frontal_area_46_ID_114	ENCFF510KRD	ENCFF890ZEQ
middle_frontal_area_46_ID_115	ENCFF510KRD	ENCFF529VDE
middle_frontal_area_46_ID_116	ENCFF510KRD	ENCFF633MNX
middle_frontal_area_46_ID_117	ENCFF510KRD	ENCFF678PNK
middle_frontal_area_46_ID_118	ENCFF510KRD	ENCFF835QGL
middle_frontal_area_46_ID_119	ENCFF510KRD	ENCFF682PIO
middle_frontal_area_46_ID_120	ENCFF510KRD	ENCFF227AWL
middle_frontal_area_46_ID_121	ENCFF510KRD	ENCFF592TSV
middle_frontal_area_46_ID_122	ENCFF510KRD	ENCFF114YIV
middle_frontal_area_46_ID_123	ENCFF510KRD	ENCFF575QTB
middle_frontal_area_46_ID_124	ENCFF510KRD	ENCFF244QQL
middle_frontal_area_46_ID_125	ENCFF510KRD	ENCFF761IWV
middle_frontal_area_46_ID_126	ENCFF510KRD	ENCFF105QXX
middle_frontal_area_46_ID_127	ENCFF510KRD	ENCFF072THO
middle_frontal_area_46_ID_128	ENCFF510KRD	ENCFF410HNA
middle_frontal_area_46_ID_129	ENCFF510KRD	ENCFF796DQP
middle_frontal_area_46_ID_130	ENCFF510KRD	ENCFF631NPO
middle_frontal_area_46_ID_131	ENCFF510KRD	ENCFF918FSP
middle_frontal_area_46_ID_132	ENCFF510KRD	ENCFF452ZUU
middle_frontal_area_46_ID_133	ENCFF510KRD	ENCFF484FUP
middle_frontal_area_46_ID_134	ENCFF510KRD	ENCFF672JEP
middle_frontal_area_46_ID_135	ENCFF510KRD	ENCFF377JWQ
middle_frontal_area_46_ID_136	ENCFF510KRD	ENCFF071LLG
middle_frontal_area_46_ID_137	ENCFF510KRD	ENCFF022JBB
middle_frontal_area_46_ID_138	ENCFF510KRD	ENCFF176VAR
middle_frontal_area_46_ID_139	ENCFF478VYV	ENCFF932FVV
middle_frontal_area_46_ID_140	ENCFF478VYV	ENCFF777JWI
middle_frontal_area_46_ID_141	ENCFF478VYV	ENCFF638KAU
middle_frontal_area_46_ID_142	ENCFF478VYV	ENCFF177EVZ
middle_frontal_area_46_ID_143	ENCFF478VYV	ENCFF535BVG
middle_frontal_area_46_ID_144	ENCFF478VYV	ENCFF864WAT
middle_frontal_area_46_ID_145	ENCFF478VYV	ENCFF890ZEQ
middle_frontal_area_46_ID_146	ENCFF478VYV	ENCFF529VDE
middle_frontal_area_46_ID_147	ENCFF478VYV	ENCFF633MNX
middle_frontal_area_46_ID_148	ENCFF478VYV	ENCFF678PNK
middle_frontal_area_46_ID_149	ENCFF478VYV	ENCFF835QGL
middle_frontal_area_46_ID_150	ENCFF478VYV	ENCFF682PIO
middle_frontal_area_46_ID_151	ENCFF478VYV	ENCFF227AWL
middle_frontal_area_46_ID_152	ENCFF478VYV	ENCFF592TSV
